DOSSIER,N,11,0;DE_JEUX,N,11,0;NOM_AIRE,C,32;TOTAL_JEUX,N,11,0;_1_à_4_ANS,N,11,0;_1_à_5_ANS,N,11,0;_1_à_6_ANS,N,11,0;à_15_ANS,N,11,0;14_ET_PLUS,N,11,0;2_à_10_ANS,N,11,0;2_à_12_ANS,N,11,0;à_15__ANS,N,11,0;_2_à_4_ANS,N,11,0;_2_à_5_ANS,N,11,0;_2_à_6_ANS,N,11,0;_2_à_7_ANS,N,11,0;_2_à_8_ANS,N,11,0;3_à_12_ANS,N,11,0;à_15__AN0,N,11,0;_3_à_6_ANS,N,11,0;_3_à_7_ANS,N,31,15;_3_à_8_ANS,N,31,15;_3_à_9_ANS,N,31,15;4_à_10_ANS,N,31,15;4_à_12_ANS,N,31,15;à_15__AN1,N,31,15;_4_à_6_ANS,N,31,15;_4_à_8_ANS,N,31,15;5_à_12_ANS,N,31,15;_5_à_8_ANS,N,31,15;6_à_12_ANS,N,31,15;6_à_14_ANS,N,31,15;à_15__AN2,N,31,15;7_à_14_ANS,N,31,15;LONGITUDE,N,31,15;LATITUDE,N,31,15
659;140;Fitness Richter;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,897823;43,605081
15;141;Fitness Bois de Montmaur;11;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,872226;43,640401
783;142;Camille Ernst;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,878535;43,618491
1025;143;Aire de jeux de Fontcolombe;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3,830477;43,597382
10;144;Fitness Lac des Garrigues;6;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,816663;43,637041
19;145;Fitness Champ de Mars;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,881673;43,611613
1;146;Fitness Paul Valéry;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,844821;43,598842
995;147;Le Tintoret;6;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3,911396;43,605811
1112;148;Père Bonnet;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,866269;43,606723
527;149;Aire de jeux Charpak 1(Marianne);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;3,903546;43,601414
