"DOSSIER,N,31,15","NOM,C,42","NOMCOURT,C,20","CRéaTION,C,10","DOM_PUBLIC,C,10","TOTALE,N,31,15","CATÉGORIE,C,9","VILLE,C,3","XCOORD,N,31,15","YCOORD,N,31,15","ADRESSE,C,59","TRAML1,C,47","BUS,C,36","ACCESSIBIL,C,3","HANDICAPés,C,3","QUARTIER,C,17","LIBPROPRI,C,22"
530,Domaine de Méric,Domaine Méric,01/01/1862,19920101,99400,Parc,M14,"3,891686","43,630881","634 Rue de Ferran, rue de la Draye",2 - Saint-Lazare - 578 m,10 - Maurice Chevalier - 437 m,Oui,Oui,Hôpitaux-Facultés,Ville de Montpellier
531,Parc du Mas Prunet,Parc Mas Prunet,01/01/1750,19920101,6839,Square,E7,"3,832395","43,59859",Place de Lascaux,3 - Tonnelles - 1810 m,10 - Les Bouisses - 231 m,Oui,Oui,Les Cévennes,Ville de Montpellier
536,Parc Rachel,Parc Rachel,01/01/1750,19960101,6800,Square,H14,"3,856302","43,633926",Impasse ville Hardouin,1 - Hôpital Lapeyronie - 392 m,13 - Gascogne - 300 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
538,Parc de l'Aiguelongue,Parc Aiguelongue,19600101,19950101,9682,Parc,K14,"3,873363","43,629492",Rue Major Flandre,1 - Saint-Eloi - 676 m,10 - Major Flandre - 284 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
543,Cannalette,Cannalette,19600101,19600101,74780,Bois,B15,"3,815633","43,636677","Rue de Tipasa, Berges de la Mosson",1 - Hauts de Massane - 557 m,15 - Pierre de Coubertin - 124 m,Non,Non,La Mosson,Ville de Montpellier
544,Allée Gaby Hobt (Promenade pinède),Allée Hobt,19600101,19600101,4807,Parc,B14,"3,81884","43,63097","Rue de Bologne, Eglise Saint Paul",1 - Saint-Paul - 149 m,15 - Gémeaux - 339 m,Oui,Non,La Mosson,Ville de Montpellier
554,Square des hibiscus,Sq Hibiscus,19950615,19950615,1470,Square,H6,"3,857323","43,592579",rue des hibiscus,2 - Croix d'Argent - 739 m,6 - Avenue de Toulouse - 113 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
562,Square Bernard Chely,Sq Chely,19700801,19700801,914,Square,H7,"3,856554","43,597413",rue de Font-Couverte,2 - Mas Drevon - 942 m,6 - Ronceray - 503 m,Oui,Non,Croix d'Argent,Ville de Montpellier
575,Square Fabre de Morlhon,Sq Morlhon,19910101,19910101,2440,Square,K6,"3,877923","43,594247",rue Fabre de Morlhon,3 - Saint Martin - 151 m,15 - Saint-Cléophas - 158 m,Oui,Non,Près d'Arènes,Ville de Montpellier
589,Square de la Providence,Sq Providence,19920701,19920701,314,Square,K10,"3,875396","43,613855",rue de la Providence,1 - Louis Blanc - 237 m,6 - Peyrou - 379 m,Oui,Oui,Centre,Ville de Montpellier
626,Parc la Carriera,Parc Carriera,19920215,19920215,8940,Parc,B16,"3,817654","43,641358",Rue Louis Pergaud,1 - Hauts de Massane - 724 m,15 - Place d'Italie - 55 m,Oui,Oui,La Mosson,Ville de Montpellier
