"VOI_NUM,N,9,2","ACV_NUM,N,9,2","X,N,13,5","Y,N,14,5","ACC_TBAN,C,3","ACC_TACC,C,3","DATE_,C,12","RIVOLI,C,10","ID_PP,N,10,0"
700,1501,770200,6276000,NON,OUI,"""18-10-2010""",700,368
619,4280,770600,6280000,OUI,OUI,"""18-10-2010""",619,369
1591,3976,770800,6281000,OUI,OUI,"""18-10-2010""",1591,370
518,3981,770900,6280000,NON,OUI,"""18-10-2010""",518,371
2773,9173,770800,6281000,NON,NON,"""18-10-2010""",2773,372
2094,3782,771700,6280000,NON,NON,"""18-10-2010""",2094,373
429,3352,772200,6281000,OUI,OUI,"""18-10-2010""",429,374
978,3917,771600,6280000,NON,OUI,"""18-10-2010""",978,375
1953,3761,772100,6280000,NON,NON,"""18-10-2010""",1953,376
2129,15756,772600,6279000,NON,OUI,"""18-10-2010""",2129,377
2229,6117,771600,6279000,OUI,NON,"""18-10-2010""",2229,378
2017,7014,771500,6279000,OUI,OUI,"""18-10-2010""",2017,379
1301,6103,771300,6279000,NON,NON,"""18-10-2010""",1301,380
990,7207,771400,6279000,NON,NON,"""18-10-2010""",990,381
1565,11793,772300,6279000,NON,NON,"""18-10-2010""",1565,382
1288,3944,771300,6280000,OUI,OUI,"""18-10-2010""",1288,383
1288,3944,771400,6280000,OUI,OUI,"""18-10-2010""",1288,384
2324,6035,772900,6279000,NON,NON,"""18-10-2010""",2324,385
2446,3715,773000,6279000,NON,OUI,"""18-10-2010""",2446,386
1941,375,772300,6278000,TVX,TVX,"""18-10-2010""",1941,387
3157,3805,771400,6280000,OUI,OUI,"""18-10-2010""",3157,388
3157,3805,771500,6280000,OUI,NON,"""18-10-2010""",3157,389
1444,3925,771300,6280000,OUI,OUI,"""18-10-2010""",1444,390
990,6096,771600,6279000,NON,NON,"""18-10-2010""",990,391
1369,2412,"3,82589","43,6157",NON,NON,"""30-07-2010""",1369,392
1745,6526,"3,83232","43,61964",NON,OUI,"""30-07-2010""",1745,393
1568,2317,"3,83192","43,61829",OUI,OUI,"""30-07-2010""",1568,394
1015,16513,"3,82634","43,61695",NON,NON,"""30-07-2010""",1015,395
1015,2437,"3,82776","43,61474",OUI,OUI,"""30-07-2010""",1015,396
1392,2416,766700,6280000,TVX,TVX,"""18-10-2010""",1392,1
1369,2412,766700,6280000,TVX,TVX,"""18-10-2010""",1369,2
1568,6525,767200,6280000,TVX,TVX,"""18-10-2010""",1568,3
1283,6527,767200,6280000,NON,OUI,"""18-10-2010""",1283,4
1369,2413,766700,6280000,TVX,TVX,"""18-10-2010""",1369,5
3260,6219,767300,6282000,NON,NON,"""18-10-2010""",3260,6
2675,2830,767900,6283000,OUI,NON,"""18-10-2010""",2675,7
3339,6703,767900,6283000,OUI,OUI,"""18-10-2010""",3339,8
408,2881,769200,6283000,NON,NON,"""18-10-2010""",408,9
1833,2885,769200,6283000,NON,NON,"""18-10-2010""",1833,10
1834,2889,769200,6283000,OUI,OUI,"""18-10-2010""",1834,11
1834,2889,769200,6283000,NON,NON,"""18-10-2010""",1834,12
1109,3570,768900,6282000,NON,OUI,"""18-10-2010""",1109,13
1109,3567,768900,6282000,NON,NON,"""18-10-2010""",1109,14
2075,4173,769700,6281000,NON,OUI,"""18-10-2010""",2075,15
1235,3304,771700,6281000,OUI,OUI,"""18-10-2010""",1235,16
701,3305,771700,6281000,OUI,OUI,"""18-10-2010""",701,17
1271,2653,766200,6282000,OUI,NON,"""18-10-2010""",1271,18
1271,2655,766200,6282000,NON,NON,"""18-10-2010""",1271,19
1728,2645,766000,6282000,NON,NON,"""18-10-2010""",1728,20
1000,2656,766400,6282000,NON,OUI,"""18-10-2010""",1000,21
423,2603,766400,6282000,OUI,OUI,"""18-10-2010""",423,22
821,2770,765600,6282000,OUI,OUI,"""18-10-2010""",821,23
539,2675,765900,6283000,NON,NON,"""18-10-2010""",539,24
821,6438,765700,6283000,NON,OUI,"""18-10-2010""",821,25
2564,2740,765700,6282000,OUI,NON,"""18-10-2010""",2564,26
603,2576,766000,6281000,OUI,OUI,"""18-10-2010""",603,27
2675,11653,768100,6283000,OUI,OUI,"""18-10-2010""",2675,28
1960,3448,768300,6281000,NON,NON,"""18-10-2010""",1960,29
2164,3471,768100,6281000,OUI,NON,"""18-10-2010""",2164,30
2164,3468,768100,6281000,OUI,NON,"""18-10-2010""",2164,31
1699,3440,768100,6282000,NON,OUI,"""18-10-2010""",1699,32
1581,3649,768600,6281000,NON,OUI,"""18-10-2010""",1581,33
1094,3496,768600,6281000,NON,NON,"""18-10-2010""",1094,34
1645,6418,768600,6281000,NON,NON,"""18-10-2010""",1645,35
749,3542,768200,6281000,OUI,OUI,"""18-10-2010""",749,36
1279,3543,768200,6281000,NON,NON,"""18-10-2010""",1279,37
1019,3520,768000,6281000,NON,NON,"""18-10-2010""",1019,38
2430,4469,767900,6281000,NON,NON,"""18-10-2010""",2430,39
2651,3530,767900,6281000,NON,NON,"""18-10-2010""",2651,40
1817,3553,767700,6281000,NON,OUI,"""18-10-2010""",1817,41
2181,4410,768500,6281000,NON,OUI,"""18-10-2010""",2181,42
